id,municipalidad_id,nombre,direccion,telefono,extension,horario,verificacion,fuente_id,sitio_url,nota_verificacion
JUZ-GUA-1,MUNI-GUA,Juzgado Primero de Tránsito,"21 calle 6-77, zona 1, Centro Cívico, Palacio Municipal, sótano",2285-8273,,Lunes a jueves de 7:00 a 17:00. Viernes de 7:00 a 15:00.,verificado,F-05,https://www.muniguate.com/juzgados-de-asuntos-municipales/,
JUZ-GUA-2,MUNI-GUA,Juzgado Segundo de Tránsito,"51 calle final, Villa Lobos I, zona 12, Edificio Administrativo CENMA, primer nivel",2485-1876,,Lunes a viernes de 7:00 a 16:00.,verificado,F-05,https://www.muniguate.com/juzgados-de-asuntos-municipales/,
JUZ-GUA-3,MUNI-GUA,Juzgado Tercero de Tránsito,"Km 4.5 carretera al Atlántico, centro comercial Los Álamos, local 5",2258-2666,,Lunes a viernes de 7:00 a 16:00.,verificado,F-05,https://www.muniguate.com/juzgados-de-asuntos-municipales/,
JUZ-MIX-1,MUNI-MIX,Juzgado Primero de Asuntos Municipales y de Tránsito,"5a avenida 3-13, zona 1, Mixco. Edificio Juzgado Primero, segundo nivel.",,4232,,parcial,F-07,https://munimixco.gob.gt/,"No encontramos una línea directa publicada para este juzgado. Llama al conmutador municipal 1593 y pide la extensión 4232. La dirección proviene del directorio municipal fechado en 2018, así que conviene reconfirmarla antes de ir. El horario de atención no está publicado en ninguna fuente oficial que hayamos podido consultar."
JUZ-VNU-1,MUNI-VNU,Juzgado de Asuntos Municipales y de Tránsito,"5a avenida 4-45, zona 1, Villa Nueva (edificio municipal)",,178,Lunes a viernes de 8:00 a 16:00.,parcial,F-06,https://www.villanueva.gob.gt/directorio/,"No encontramos una línea directa publicada para este juzgado. Llama al conmutador municipal 1581 y pide la extensión 178 o 122 (oficiales de tránsito), o 105 y 181 (oficiales administrativos)."
